iter	Passed	Remaining
0	1	131
1	2	112
2	3	106
3	4	98
4	5	96
5	5	93
6	6	91
7	7	89
8	9	92
9	10	90
10	10	88
11	11	87
12	12	85
13	13	84
14	14	83
15	15	83
16	16	82
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	73
25	25	72
26	26	71
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	37	63
37	38	62
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	42	54
44	43	53
45	45	52
46	46	52
47	47	50
48	47	49
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
