iter	Passed	Remaining
0	157	157653
1	159	79605
2	161	53515
3	162	40468
4	163	32608
5	165	27374
6	166	23611
7	167	20804
8	169	18695
9	171	17011
10	173	15599
11	175	14437
12	176	13414
13	177	12531
14	179	11806
15	181	11133
16	182	10537
17	183	10033
18	185	9577
19	187	9168
20	188	8810
21	190	8461
22	191	8136
23	193	7850
24	194	7575
25	195	7329
26	197	7099
27	199	6908
28	200	6723
29	202	6544
30	203	6376
31	205	6216
32	206	6060
33	208	5921
34	209	5782
35	211	5659
36	213	5565
37	215	5452
38	216	5335
39	217	5222
40	218	5117
41	220	5019
42	221	4928
43	222	4842
44	224	4757
45	225	4681
46	227	4606
47	229	4543
48	230	4472
49	231	4403
50	233	4340
51	234	4272
52	235	4208
53	237	4151
54	238	4091
55	239	4040
56	240	3986
57	242	3931
58	243	3883
59	245	3842
60	246	3799
61	247	3751
62	249	3706
63	250	3661
64	251	3617
65	252	3576
66	254	3542
67	255	3507
68	257	3473
69	258	3437
70	260	3406
71	261	3372
72	262	3335
73	263	3298
74	264	3263
75	265	3229
76	266	3199
77	268	3170
78	270	3148
79	271	3122
80	272	3093
81	274	3073
82	275	3043
83	276	3015
84	277	2989
85	279	2968
86	280	2945
87	281	2922
88	283	2901
89	284	2881
90	286	2858
91	287	2839
92	289	2818
93	290	2798
94	291	2776
95	292	2756
96	294	2738
97	295	2721
98	296	2702
99	298	2683
100	299	2665
101	300	2645
102	301	2626
103	302	2608
104	304	2593
105	305	2577
106	306	2561
107	308	2545
108	309	2527
109	310	2511
110	312	2499
111	313	2486
112	315	2473
113	316	2459
114	317	2443
115	318	2429
116	319	2412
117	320	2398
118	322	2384
119	323	2370
120	324	2357
121	325	2343
122	327	2332
123	329	2324
124	330	2312
125	331	2301
126	333	2289
127	334	2279
128	335	2267
129	336	2255
130	338	2243
131	339	2233
132	343	2235
133	344	2228
134	346	2218
135	347	2209
136	348	2197
137	349	2185
138	350	2173
139	352	2162
140	353	2152
141	354	2139
142	356	2134
143	357	2127
144	359	2120
145	361	2115
146	363	2107
147	365	2101
148	366	2092
149	367	2083
150	369	2074
151	370	2067
152	372	2059
153	373	2050
154	374	2040
155	375	2032
156	377	2026
157	378	2017
158	380	2010
159	381	2001
160	382	1992
161	383	1984
162	385	1977
163	386	1971
164	388	1965
165	389	1957
166	391	1950
167	392	1944
168	394	1937
169	395	1929
170	396	1921
171	397	1915
172	399	1910
173	401	1904
174	402	1898
175	404	1892
176	405	1885
177	407	1881
178	408	1874
179	409	1867
180	411	1860
181	412	1852
182	413	1845
183	414	1838
184	415	1831
185	417	1825
186	418	1819
187	419	1813
188	421	1807
189	422	1800
190	423	1794
191	424	1788
192	426	1782
193	427	1775
194	428	1769
195	430	1764
196	431	1759
197	432	1753
198	434	1747
199	435	1741
200	436	1736
201	438	1731
202	439	1724
203	440	1717
204	441	1711
205	442	1705
206	443	1699
207	444	1693
208	446	1688
209	447	1685
210	449	1680
211	450	1675
212	452	1671
213	453	1667
214	455	1662
215	456	1657
216	458	1653
217	459	1648
218	461	1644
219	462	1639
220	464	1636
221	466	1634
222	468	1630
223	469	1626
224	470	1622
225	472	1618
226	473	1613
227	475	1610
228	476	1605
229	478	1601
230	479	1597
231	481	1594
232	482	1589
233	484	1584
234	485	1579
235	486	1575
236	487	1571
237	489	1567
238	490	1562
239	492	1558
240	493	1555
241	495	1551
242	496	1547
243	498	1543
244	499	1538
245	500	1534
246	502	1532
247	504	1528
248	505	1524
249	506	1520
250	508	1516
251	509	1512
252	510	1508
253	512	1504
254	513	1500
255	515	1497
256	517	1495
257	519	1493
258	521	1491
259	524	1491
260	525	1488
261	526	1484
262	528	1479
263	529	1476
264	531	1473
265	532	1470
266	534	1467
267	536	1466
268	538	1463
269	540	1460
270	541	1456
271	542	1453
272	544	1450
273	546	1448
274	548	1445
275	549	1441
276	551	1438
277	552	1435
278	554	1431
279	555	1428
280	556	1424
281	558	1421
282	559	1418
283	561	1415
284	562	1411
285	564	1408
286	565	1405
287	567	1403
288	569	1400
289	570	1396
290	571	1392
291	573	1389
292	574	1387
293	576	1383
294	577	1379
295	579	1377
296	580	1375
297	582	1372
298	584	1369
299	585	1366
300	587	1363
301	589	1361
302	590	1359
303	592	1356
304	593	1353
305	595	1350
306	597	1347
307	598	1344
308	600	1342
309	601	1339
310	603	1336
311	604	1333
312	605	1329
313	607	1327
314	609	1324
315	610	1321
316	612	1318
317	613	1315
318	615	1313
319	616	1310
320	618	1307
321	619	1305
322	621	1302
323	622	1299
324	624	1296
325	625	1292
326	626	1290
327	628	1286
328	629	1283
329	631	1281
330	632	1279
331	634	1276
332	635	1273
333	637	1270
334	638	1267
335	639	1264
336	641	1261
337	642	1259
338	644	1256
339	645	1253
340	647	1250
341	648	1247
342	650	1245
343	651	1242
344	653	1240
345	654	1237
346	656	1235
347	657	1232
348	659	1229
349	660	1227
350	662	1224
351	663	1221
352	665	1218
353	666	1215
354	668	1214
355	670	1212
356	671	1209
357	672	1206
358	674	1204
359	676	1202
360	677	1199
361	679	1197
362	680	1194
363	682	1193
364	684	1191
365	686	1189
366	688	1187
367	689	1184
368	691	1182
369	693	1180
370	694	1178
371	696	1175
372	697	1173
373	699	1170
374	700	1168
375	702	1165
376	704	1163
377	706	1162
378	709	1161
379	711	1160
380	712	1157
381	713	1154
382	714	1151
383	715	1148
384	716	1145
385	718	1143
386	720	1140
387	721	1138
388	723	1136
389	725	1133
390	726	1131
391	727	1128
392	729	1126
393	730	1123
394	732	1121
395	733	1119
396	735	1117
397	737	1115
398	739	1114
399	742	1113
400	743	1110
401	744	1107
402	746	1105
403	751	1108
404	753	1106
405	755	1104
406	757	1103
407	758	1100
408	759	1097
409	760	1094
410	761	1091
411	763	1089
412	764	1086
413	765	1084
414	767	1081
415	769	1079
416	770	1076
417	771	1074
418	772	1071
419	773	1068
420	774	1065
421	775	1062
422	776	1059
423	778	1057
424	779	1054
425	780	1052
426	782	1049
427	783	1047
428	784	1044
429	786	1042
430	787	1039
431	788	1036
432	789	1034
433	790	1031
434	792	1029
435	793	1026
436	794	1023
437	795	1021
438	796	1018
439	798	1015
440	799	1013
441	800	1011
442	802	1008
443	803	1005
444	804	1003
445	805	1001
446	807	999
447	809	996
448	810	994
449	811	992
450	813	989
451	814	987
452	816	985
453	817	983
454	819	981
455	820	978
456	822	976
457	823	974
458	825	972
459	826	970
460	827	967
461	829	966
462	831	963
463	832	961
464	833	959
465	836	958
466	839	957
467	840	955
468	841	953
469	843	950
470	844	948
471	845	945
472	847	944
473	848	942
474	850	940
475	852	938
476	853	935
477	854	932
478	855	930
479	856	928
480	858	926
481	859	923
482	861	921
483	862	919
484	863	916
485	864	914
486	866	912
487	867	909
488	868	907
489	869	905
490	870	902
491	871	900
492	872	897
493	874	895
494	875	893
495	876	890
496	877	888
497	879	886
498	880	884
499	881	881
500	883	879
501	884	877
502	885	875
503	886	872
504	887	870
505	889	868
506	890	865
507	891	863
508	892	860
509	893	858
510	894	855
511	895	853
512	896	850
513	897	848
514	898	845
515	899	843
516	900	841
517	901	838
518	902	836
519	903	834
520	904	831
521	905	829
522	906	826
523	907	824
524	908	821
525	909	819
526	910	817
527	912	815
528	913	812
529	913	810
530	914	808
531	915	805
532	917	803
533	918	801
534	919	799
535	920	796
536	921	794
537	922	792
538	923	789
539	925	788
540	926	786
541	927	783
542	928	781
543	929	779
544	930	777
545	932	775
546	933	772
547	934	770
548	935	768
549	936	765
550	937	763
551	938	761
552	939	759
553	940	757
554	941	754
555	942	752
556	943	750
557	944	748
558	945	746
559	947	744
560	948	741
561	949	739
562	949	737
563	950	735
564	951	732
565	952	730
566	953	728
567	954	726
568	955	723
569	956	721
570	957	719
571	958	717
572	959	714
573	960	712
574	961	710
575	962	708
576	963	706
577	964	704
578	965	702
579	966	700
580	968	698
581	969	696
582	970	693
583	971	691
584	972	689
585	973	687
586	974	685
587	975	683
588	976	681
589	977	679
590	978	677
591	979	675
592	980	673
593	981	671
594	983	669
595	984	667
596	985	665
597	986	663
598	988	661
599	989	659
600	990	657
601	992	655
602	993	653
603	994	651
604	995	650
605	997	648
606	1002	649
607	1004	647
608	1005	645
609	1007	643
610	1008	641
611	1009	640
612	1010	638
613	1011	636
614	1013	634
615	1015	632
616	1017	631
617	1019	629
618	1020	628
619	1022	626
620	1023	624
621	1024	622
622	1026	620
623	1027	619
624	1028	617
625	1029	615
626	1031	613
627	1032	611
628	1033	609
629	1035	607
630	1036	606
631	1038	604
632	1039	602
633	1040	600
634	1042	599
635	1043	597
636	1045	595
637	1046	593
638	1047	591
639	1049	590
640	1050	588
641	1052	587
642	1054	585
643	1056	584
644	1059	583
645	1062	582
646	1066	581
647	1068	580
648	1070	578
649	1071	576
650	1072	574
651	1074	573
652	1076	571
653	1077	569
654	1078	568
655	1079	566
656	1080	564
657	1081	562
658	1082	560
659	1083	558
660	1084	556
661	1085	554
662	1086	552
663	1087	550
664	1089	548
665	1090	546
666	1091	544
667	1092	542
668	1093	540
669	1094	538
670	1095	536
671	1096	534
672	1097	533
673	1097	531
674	1099	529
675	1100	527
676	1101	525
677	1103	523
678	1104	521
679	1105	520
680	1106	518
681	1107	516
682	1108	514
683	1109	512
684	1110	510
685	1111	508
686	1112	506
687	1113	505
688	1114	503
689	1115	501
690	1116	499
691	1117	497
692	1119	495
693	1120	494
694	1121	492
695	1122	490
696	1123	488
697	1125	486
698	1126	484
699	1127	483
700	1128	481
701	1129	479
702	1130	477
703	1131	475
704	1132	473
705	1133	472
706	1134	470
707	1135	468
708	1136	466
709	1137	464
710	1138	462
711	1140	461
712	1141	459
713	1142	457
714	1143	455
715	1144	453
716	1145	452
717	1146	450
718	1147	448
719	1148	446
720	1149	444
721	1150	443
722	1151	441
723	1152	439
724	1153	437
725	1154	435
726	1155	434
727	1156	432
728	1157	430
729	1158	428
730	1159	426
731	1160	425
732	1161	423
733	1162	421
